"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"광진구","2018-07-26 04:00","0.009","0.5","0.012","0.010","26","17",127.0822938,37.5384843
"광진구","2018-07-25 10:00","0.008","0.5","0.022","0.010","34","21",127.0822938,37.5384843
"광진구","2018-07-25 17:00","0.008","0.5","0.052","0.013","39","25",127.0822938,37.5384843
"광진구","2018-07-25 20:00","0.009","0.5","0.031","0.016","32","21",127.0822938,37.5384843
"광진구","2018-07-26 06:00","0.008","0.6","0.008","0.014","31","19",127.0822938,37.5384843
"광진구","2018-07-25 23:00","0.010","0.5","0.008","0.022","39","21",127.0822938,37.5384843
"광진구","2018-07-25 16:00","0.008","0.6","0.051","0.017","42","32",127.0822938,37.5384843
"광진구","2018-07-25 11:00","0.008","0.5","0.026","0.012","36","20",127.0822938,37.5384843
"광진구","2018-07-25 24:00","0.013","0.5","0.004","0.021","32","23",127.0822938,37.5384843
"광진구","2018-07-25 15:00","0.008","0.5","0.053","0.012","36","21",127.0822938,37.5384843
"광진구","2018-07-25 22:00","0.009","0.6","0.010","0.026","33","17",127.0822938,37.5384843
"광진구","2018-07-26 03:00","0.008","0.5","0.012","0.010","22","16",127.0822938,37.5384843
"광진구","2018-07-26 07:00","0.008","0.6","0.006","0.016","30","21",127.0822938,37.5384843
"광진구","2018-07-26 05:00","0.009","0.5","0.012","0.010","24","18",127.0822938,37.5384843
"구로구","2018-07-26 04:00","0.004","0.1","0.025","0.008","21","21",126.887369,37.4954031
"구로구","2018-07-25 12:00","0.004","0.2","0.041","0.014","29","20",126.887369,37.4954031
"구로구","2018-07-25 13:00","0.004","0.2","0.054","0.012","31","20",126.887369,37.4954031
"구로구","2018-07-26 03:00","0.004","0.1","0.025","0.008","21","17",126.887369,37.4954031
"구로구","2018-07-26 09:00","0.005","0.2","0.028","0.014","29","19",126.887369,37.4954031
"구로구","2018-07-26 02:00","0.003","0.2","0.027","0.009","22","15",126.887369,37.4954031
"구로구","2018-07-25 10:00","0.003","0.2","0.037","0.013","32","21",126.887369,37.4954031
"구로구","2018-07-25 11:00","0.003","0.2","0.038","0.014","30","14",126.887369,37.4954031
"구로구","2018-07-25 20:00","0.003","0.2","0.034","0.018","29","20",126.887369,37.4954031
"구로구","2018-07-26 01:00","0.003","0.2","0.024","0.014","25","13",126.887369,37.4954031
"구로구","2018-07-25 14:00","0.004","0.2","0.060","0.010","35","23",126.887369,37.4954031
"구로구","2018-07-25 21:00","0.004","0.2","0.030","0.019","21","20",126.887369,37.4954031
"구로구","2018-07-25 18:00","0.004","0.2","0.055","0.014","36","25",126.887369,37.4954031
"구로구","2018-07-25 15:00","0.003","0.2","0.052","0.011","34","14",126.887369,37.4954031
"구로구","2018-07-26 06:00","0.005","0.2","0.023","0.013","28","17",126.887369,37.4954031
"구로구","2018-07-25 16:00","0.004","0.2","0.065","0.009","35","18",126.887369,37.4954031
"구로구","2018-07-25 19:00","0.003","0.2","0.045","0.015","27","19",126.887369,37.4954031
"구로구","2018-07-26 08:00","0.005","0.2","0.017","0.020","30","11",126.887369,37.4954031
"구로구","2018-07-26 05:00","0.003","0.2","0.028","0.008","24","16",126.887369,37.4954031
"구로구","2018-07-25 23:00","0.005","0.2","0.013","0.026","34","16",126.887369,37.4954031
"구로구","2018-07-25 17:00","0.004","0.2","0.064","0.013","38","31",126.887369,37.4954031
"구로구","2018-07-25 22:00","0.008","0.2","0.019","0.027","29","0",126.887369,37.4954031
"구로구","2018-07-25 24:00","0.004","0.2","0.020","0.017","24","20",126.887369,37.4954031
"구로구","2018-07-26 07:00","0.004","0.2","0.018","0.018","32","19",126.887369,37.4954031
"금천구","2018-07-26 02:00","0.004","0.2","0.011","0.015","39","23",126.9020358,37.4518527
"금천구","2018-07-26 09:00","0.004","0.3","0.016","0.017","31","22",126.9020358,37.4518527
"금천구","2018-07-25 12:00","0.004","0.3","0.031","0.018","35","22",126.9020358,37.4518527
"금천구","2018-07-26 01:00","0.003","0.2","0.010","0.018","38","21",126.9020358,37.4518527
"금천구","2018-07-25 14:00","0.004","0.4","0.047","0.018","35","23",126.9020358,37.4518527
"금천구","2018-07-26 03:00","0.004","0.2","0.012","0.013","43","24",126.9020358,37.4518527
"금천구","2018-07-25 11:00","0.004","0.3","0.026","0.020","31","21",126.9020358,37.4518527
"금천구","2018-07-25 20:00","0.004","0.3","0.023","0.023","38","21",126.9020358,37.4518527
"금천구","2018-07-26 06:00","0.004","0.3","0.011","0.016","42","25",126.9020358,37.4518527
"금천구","2018-07-25 13:00","0.004","0.4","0.039","0.018","31","25",126.9020358,37.4518527
"금천구","2018-07-25 19:00","0.004","0.3","0.025","0.025","34","20",126.9020358,37.4518527
"금천구","2018-07-25 24:00","0.003","0.2","0.010","0.019","36","19",126.9020358,37.4518527
"금천구","2018-07-25 18:00","0.004","0.3","0.032","0.020","36","22",126.9020358,37.4518527
"금천구","2018-07-26 04:00","0.004","0.2","0.014","0.011","36","23",126.9020358,37.4518527
"금천구","2018-07-25 21:00","0.003","0.3","0.014","0.032","39","22",126.9020358,37.4518527
"금천구","2018-07-25 22:00","0.004","0.3","0.010","0.035","37","20",126.9020358,37.4518527
"금천구","2018-07-26 05:00","0.004","0.4","0.014","0.014","41","25",126.9020358,37.4518527
"금천구","2018-07-25 23:00","0.004","0.3","0.008","0.030","40","21",126.9020358,37.4518527
"금천구","2018-07-25 10:00","0.004","0.3","0.021","0.018","31","21",126.9020358,37.4518527
"금천구","2018-07-26 07:00","0.003","0.3","0.010","0.018","36","22",126.9020358,37.4518527
"금천구","2018-07-25 17:00","0.005","0.3","0.038","0.018","33","19",126.9020358,37.4518527
"금천구","2018-07-26 08:00","0.004","0.3","0.009","0.020","35","23",126.9020358,37.4518527
"금천구","2018-07-25 15:00","0.004","0.3","0.039","0.017","40","28",126.9020358,37.4518527
"금천구","2018-07-25 16:00","0.004","0.3","0.041","0.017","34","21",126.9020358,37.4518527
"노원구","2018-07-25 13:00","0.005","0.4","0.034","0.017","35","30",127.056793,37.6541917
"노원구","2018-07-25 18:00","0.005","0.4","0.041","0.025","42","31",127.056793,37.6541917
"노원구","2018-07-25 12:00","0.005","0.3","0.028","0.019","35","25",127.056793,37.6541917
"노원구","2018-07-25 24:00","0.006","0.3","0.008","0.025","36","24",127.056793,37.6541917
"노원구","2018-07-26 02:00","0.005","0.3","0.007","0.020","38","26",127.056793,37.6541917
"노원구","2018-07-25 19:00","0.006","0.4","0.031","0.026","44","28",127.056793,37.6541917
"노원구","2018-07-25 11:00","0.006","0.3","0.023","0.016","32","21",127.056793,37.6541917
"노원구","2018-07-26 03:00","0.005","0.3","0.006","0.020","42","29",127.056793,37.6541917
"노원구","2018-07-26 01:00","0.006","0.3","0.008","0.023","38","25",127.056793,37.6541917
"노원구","2018-07-26 04:00","0.005","0.3","0.005","0.019","37","25",127.056793,37.6541917
"노원구","2018-07-25 17:00","0.005","0.4","0.047","0.021","42","26",127.056793,37.6541917
"노원구","2018-07-25 22:00","0.006","0.3","0.019","0.019","38","23",127.056793,37.6541917
"노원구","2018-07-25 14:00","0.005","0.4","0.043","0.016","37","28",127.056793,37.6541917
"노원구","2018-07-25 10:00","0.006","0.3","0.019","0.016","28","20",127.056793,37.6541917
"노원구","2018-07-26 09:00","0.006","0.4","0.007","0.022","40","25",127.056793,37.6541917
"노원구","2018-07-26 07:00","0.006","0.4","0.004","0.022","37","23",127.056793,37.6541917
"노원구","2018-07-25 15:00","0.005","0.4","0.050","0.019","40","31",127.056793,37.6541917
"노원구","2018-07-26 08:00","0.005","0.4","0.008","0.020","35","23",127.056793,37.6541917
"노원구","2018-07-25 23:00","0.006","0.3","0.017","0.018","37","25",127.056793,37.6541917
"노원구","2018-07-25 21:00","0.007","0.3","0.020","0.024","40","31",127.056793,37.6541917
"노원구","2018-07-26 05:00","0.005","0.3","0.008","0.017","35","27",127.056793,37.6541917
"노원구","2018-07-25 20:00","0.006","0.3","0.025","0.027","40","28",127.056793,37.6541917
"노원구","2018-07-26 06:00","0.006","0.3","0.005","0.019","36","23",127.056793,37.6541917
"노원구","2018-07-25 16:00","0.005","0.4","0.051","0.022","40","30",127.056793,37.6541917
"도봉구","2018-07-25 19:00","0.005","0.5","0.038","0.021","41","24",127.0470706,37.6687738
"도봉구","2018-07-25 18:00","0.005","0.5","0.045","0.021","44","22",127.0470706,37.6687738
"도봉구","2018-07-25 22:00","0.005","0.5","0.023","0.016","38","15",127.0470706,37.6687738
"도봉구","2018-07-25 14:00","0.004","0.5","0.047","0.013","38","21",127.0470706,37.6687738
"도봉구","2018-07-26 02:00","0.006","0.5","0.008","0.016","30","15",127.0470706,37.6687738
"도봉구","2018-07-25 10:00","0.004","0.5","0.023","0.013","28","13",127.0470706,37.6687738
"도봉구","2018-07-26 07:00","0.005","0.5","0.004","0.022","33","18",127.0470706,37.6687738
"도봉구","2018-07-25 12:00","0.004","0.5","0.035","0.013","35","21",127.0470706,37.6687738
"도봉구","2018-07-25 17:00","0.004","0.5","0.054","0.014","41","21",127.0470706,37.6687738
"도봉구","2018-07-26 09:00","0.005","0.6","0.004","0.022","41","24",127.0470706,37.6687738
"도봉구","2018-07-25 13:00","0.004","0.5","0.038","0.013","38","16",127.0470706,37.6687738
"도봉구","2018-07-25 11:00","0.004","0.5","0.028","0.013","32","18",127.0470706,37.6687738
"도봉구","2018-07-26 01:00","0.005","0.5","0.013","0.015","27","17",127.0470706,37.6687738
"도봉구","2018-07-25 21:00","0.006","0.5","0.021","0.023","38","20",127.0470706,37.6687738
"도봉구","2018-07-25 15:00","0.004","0.6","0.058","0.014","42","26",127.0470706,37.6687738
"도봉구","2018-07-26 03:00","0.006","0.5","0.009","0.016","35","16",127.0470706,37.6687738
"도봉구","2018-07-25 20:00","0.006","0.5","0.029","0.022","42","20",127.0470706,37.6687738
"도봉구","2018-07-26 06:00","0.005","0.5","0.005","0.019","30","19",127.0470706,37.6687738
"도봉구","2018-07-26 04:00","0.005","0.5","0.008","0.015","37","23",127.0470706,37.6687738
"도봉구","2018-07-25 23:00","0.005","0.4","0.021","0.014","34","21",127.0470706,37.6687738
"도봉구","2018-07-26 08:00","0.005","0.5","0.005","0.021","34","23",127.0470706,37.6687738
"도봉구","2018-07-26 05:00","0.005","0.5","0.008","0.016","34","20",127.0470706,37.6687738
"도봉구","2018-07-25 24:00","0.006","0.4","0.016","0.017","28","19",127.0470706,37.6687738
"도봉구","2018-07-25 16:00","0.005","0.6","0.056","0.014","49","29",127.0470706,37.6687738
"동대문구","2018-07-25 18:00","0.008","0.6","0.054","0.012","32","27",127.0400189,37.5743682
"동대문구","2018-07-25 19:00","0.008","0.6","0.045","0.009","30","26",127.0400189,37.5743682
"동대문구","2018-07-25 17:00","0.008","0.7","0.065","0.016","37","32",127.0400189,37.5743682
"동대문구","2018-07-26 04:00","0.006","0.5","0.018","0.013","27","21",127.0400189,37.5743682
"동대문구","2018-07-25 13:00","0.007","0.5","0.048","0.014","31","27",127.0400189,37.5743682
"동대문구","2018-07-25 14:00","0.007","0.6","0.059","0.017","32","28",127.0400189,37.5743682
"동대문구","2018-07-25 12:00","0.007","0.5","0.040","0.018","31","25",127.0400189,37.5743682
"동대문구","2018-07-26 06:00","0.007","0.6","0.014","0.017","33","25",127.0400189,37.5743682
"동대문구","2018-07-25 10:00","0.007","0.5","0.028","0.016","26","20",127.0400189,37.5743682
