obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
127,2011-08-03T10:14:06Z,22.0003,-164.75339,367311350,0,15.4,102,101,0,0
128,2011-08-03T10:14:06Z,14.08568,-166.36276,412917000,0,15,286.7,286,-127,0
129,2011-08-03T10:14:06Z,23.86715,-161.19878,636009881,0,12.4,129,130,0,1
130,2011-08-03T10:14:10Z,20.94299,-159.20753,246663000,0,15.7,284.7,285,-9,1
131,2011-08-03T10:14:18Z,21.30997,-157.86816,367309120,0,0,34,511,-128,0
132,2011-08-03T10:14:34Z,33.99198,-162.4815,354591000,0,18.2,91,92,0,1
133,2011-08-03T10:14:50Z,24.20053,-153.48148,352740000,0,11.9,298,299,0,1
134,2011-08-03T10:14:50Z,21.30988,-157.86871,367056982,0,0.1,332.3,511,-128,0
135,2011-08-03T10:14:50Z,22.88722,-166.12996,369565000,0,11.2,60.9,62,-7,0
136,2011-08-03T10:14:54Z,23.64103,-152.4407,367196000,0,22.5,244.4,244,0,0
137,2011-08-03T10:15:00Z,21.9994,-164.74918,367311350,0,15.4,102,101,0,0
138,2011-08-03T10:15:24Z,30.7165,-152.43382,367010000,0,9.3,28.8,32,0,1
139,2011-08-03T10:15:24Z,21.31021,-157.86983,367309830,11,0,274.3,511,-128,1
140,2011-08-03T10:15:24Z,5.47065,-166.4506,477089900,0,10.9,303.3,303,0,0
141,2011-08-03T10:15:30Z,21.99898,-164.74715,367311350,0,15.3,102,101,0,0
142,2011-08-03T10:15:30Z,20.47967,-165.20023,367438000,0,21,262,264,9,0
143,2011-08-03T10:15:36Z,31.00198,-165.29108,215453000,0,13.3,271,269,0,1
144,2011-08-03T10:15:36Z,21.20223,-157.96387,305676000,0,9.7,91,91,0,0
145,2011-08-03T10:15:36Z,30.71706,-152.43358,367010000,0,9.4,28.5,33,0,1
146,2011-08-03T10:15:36Z,21.1179,-157.60986,367151210,0,4,127.4,511,-128,0
147,2011-08-03T10:15:36Z,31.99931,-162.20708,376265000,0,12.4,269,271,0,0
148,2011-08-03T10:15:44Z,21.31021,-157.86983,367309830,11,0,271.7,511,-128,1
149,2011-08-03T10:15:44Z,13.72614,-158.60876,563233000,0,11.5,180,177,0,0
150,2011-08-03T10:15:46Z,31.00198,-165.29163,215453000,0,13.3,271,268,0,1
151,2011-08-03T10:15:46Z,5.50117,-155.85757,440612000,0,4.9,268.2,511,-128,1
152,2011-08-03T10:15:46Z,7.04677,-174.11244,354469000,0,14.1,83.7,343,0,0
153,2011-08-03T10:15:58Z,21.20223,-157.96292,305676000,0,9.6,85.8,91,0,0
154,2011-08-03T10:15:58Z,5.60507,-158.60088,355713000,0,13.4,111,112,0,1
155,2011-08-03T10:15:58Z,21.30993,-157.86815,367309120,0,0,49,511,-128,0
156,2011-08-03T10:15:58Z,31.9993,-162.20842,376265000,0,12.4,270,271,0,0
157,2011-08-03T10:16:02Z,21.99847,-164.74467,367311350,0,15.4,102,101,0,0
158,2011-08-03T10:16:02Z,21.31644,-157.8767,366606000,0,0,210.3,27,0,0
159,2011-08-03T10:16:02Z,20.70385,-156.6004,366866570,0,7.6,317,511,-128,0
